"";"systemsGroup";"system";"file";"devId";"dev_answer";"doa";"commit";"blame";"doaValue";"commitValue";"blameValue";"isFA";"DE";"AC";"nCommits";"LOC";"daysLastCommit";"nComAfter";"commitsPerc"
"76";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/ListBossService.java";"dev-5451";2;"hit";"hit";"miss";"0,29281";"0,06667";"1";FALSE;2;36;38;41;184;10;5
"77";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/commission/service/impl/CommissionServiceImpl.java";"dev-5451";3;"miss";"miss";"miss";"0,69412";"0,625";"0,16279";FALSE;5;7;12;77;34;0;38,4615384615385
"78";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/commission/service/impl/CommissionServiceImpl.java";"dev-5454";3;"miss";"miss";"miss";"1";"1";"1";TRUE;7;5;12;77;131;2;61,5384615384615
"79";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PostbackServiceImpl.java";"dev-5455";4;"miss";"hit";"miss";"0,55375";"0,2";"0,01456";FALSE;3;18;21;348;36;9;13,6363636363636
"80";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/PostbackServiceImpl.java";"dev-5457";5;"hit";"hit";"hit";"1";"1";"1";FALSE;15;6;21;348;3;0;68,1818181818182
"81";"Commercial";"commercial#1";"hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java";"dev-5449";5;"miss";"miss";"miss";"0,17628";"0,15261";"0,07601";FALSE;38;310;348;1058;1;0;10,7954545454545
"82";"Commercial";"commercial#1";"hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java";"dev-5459";4;"miss";"miss";"miss";"0,07785";"0,04819";"0,0306";FALSE;12;336;348;1058;14;7;3,40909090909091
"83";"Commercial";"commercial#1";"hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"1";TRUE;248;100;348;1058;5;1;70,7386363636364
"84";"Commercial";"commercial#1";"hot-product-web/src/main/java/com/hotmart/marketplace/rest/ProductController.java";"dev-5446";3;"hit";"hit";"hit";"0,07785";"0,04819";"0,01382";FALSE;12;336;348;1058;68;33;3,40909090909091
"85";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/category/service/impl/CategoryServiceImpl.java";"dev-5457";1;"hit";"hit";"hit";"0,49224";"0,1";"0";FALSE;1;12;13;27;124;7;6,66666666666667
"86";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java";"dev-5449";5;"hit";"hit";"hit";"1";"0,5";"1";TRUE;0;4;4;20;291;4;20
"87";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java";"dev-5454";4;"hit";"hit";"miss";"0,77742";"0,5";"0";FALSE;1;3;4;20;140;2;20
"88";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java";"dev-5446";1;"miss";"miss";"miss";"0,84358";"1";"0,13043";FALSE;2;2;4;20;139;1;40
"89";"Commercial";"commercial#1";"hot-product-ejb/src/main/java/com/hotmart/marketplace/product/upload/ProductPictureBuilder.java";"dev-5451";2;"miss";"miss";"hit";"0,77742";"0,5";"0,04348";FALSE;1;3;4;20;34;0;20
"90";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/impl/ListBossServiceImpl.java";"dev-5449";4;"miss";"miss";"miss";"0,15555";"0,05128";"0,00213";FALSE;4;85;89;630;161;45;4,3956043956044
"91";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/impl/ListBossServiceImpl.java";"dev-5459";4;"miss";"miss";"miss";"0,13484";"0,02564";"0,00638";FALSE;2;87;89;630;152;44;2,1978021978022
"92";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/impl/ListBossServiceImpl.java";"dev-5454";5;"hit";"hit";"hit";"1";"1";"0,65106";TRUE;77;12;89;630;6;0;85,7142857142857
"93";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/impl/ListBossServiceImpl.java";"dev-5446";1;"hit";"hit";"hit";"0,14519";"0,03846";"0";FALSE;3;86;89;630;139;39;3,2967032967033
"94";"Commercial";"commercial#1";"hot-listboss-ejb/src/main/java/com/hotmart/listboss/service/impl/ListBossServiceImpl.java";"dev-5451";2;"hit";"hit";"miss";"0,14519";"0,03846";"1";FALSE;3;86;89;630;172;46;3,2967032967033
"95";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/upload/UserDocumentBuilder.java";"dev-5451";5;"hit";"hit";"hit";"1";"0,5";"1";TRUE;0;3;3;19;239;3;25
"96";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/upload/UserDocumentBuilder.java";"dev-5446";1;"miss";"miss";"hit";"0,86125";"1";"0,08696";FALSE;2;1;3;19;139;0;50
"97";"Commercial";"commercial#1";"hot-userprofile-ejb/src/main/java/com/hotmart/marketplace/userprofile/upload/UserDocumentBuilder.java";"dev-5454";3;"miss";"miss";"hit";"0,78671";"0,5";"0";FALSE;1;2;3;19;140;1;25
"98";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/AffiliationRequestService.java";"dev-5449";4;"miss";"miss";"miss";"0,41098";"0,06667";"0,03448";FALSE;1;18;19;22;285;13;5
"99";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/AffiliationRequestService.java";"dev-5446";5;"hit";"hit";"hit";"1";"1";"1";TRUE;14;5;19;22;90;1;75
"100";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/AffiliationRequestService.java";"dev-5451";4;"miss";"hit";"hit";"0,5005";"0,26667";"0,10345";FALSE;4;15;19;22;89;0;20
